Word	Cyrillic	Village	Type	General type	Lat	Lon	Language	Dialect / Alternative name	Glottocode	Resource type	Reference	Comment
puč	пуч	Kvantlada	2. burč	other	42.39204	46.06382	Inkhoqwari	Kvantlada		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
puč	пуч	Inkhokvari	2. burč	other	42.410888	46.044877	Inkhoqwari			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
pučːi	пуччи	Kvankero	2. burč	other	42.55244	46.3404	Akhvakh	Northern		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
pučːu	пуччу	Godoberi	2. burč	other	42.85	46.22524	Godoberi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
purč	пурч	Kardib	2. burč	other	42.111443	46.514655	Avar	Antsukh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Random village assigned
purč	пурч	Glottolog_point	2. burč	other	42.6	45.99496	Chamalal			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
purč	пурч	Miarso	2. burč	other	42.654059	46.175643	Botlikh	Miarso		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
purčː	пурчч	Araderix	2. burč	other	42.681685	46.6	Avar	Araderikh		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Coordinates of Srednij Aradirix
purčːu	пурччу	Godoberi	2. burč	other	42.74276	46.22524	Godoberi			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
usːot	уссот	Tumeller	1. istiot	istiot	42.1846	47.84238	Kumyk	Tumenler		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
üstöüt	уьстоьуьт	Glottolog_point	1. istiot	istiot	41.3	48.18457	Kryz			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
üstöʔüt	уьстоьъуьт	Glottolog_point	1. istiot	istiot	41.4	48.33533	Budukh			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
žibiži	жибижи	Dorgeli	5. žibži	other	42.66556	47.29667	Kumyk	Dorgeli		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
žibiži	жибижи	Karabudakhkent	5. žibži	other	42.7067	47.5603	Kumyk	Karabudakhkent		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
žibži	жибжи	Kadar	5. žibži	other	42.6242	47.2903	Dargwa	Kadar		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
žibžij	шибжий	Glottolog_point	5. žibži	other	43.59168	46.74	Nogai			Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	Glottolog coordinates
žibžir	жибжир	Gapshima	5. žibži	other	42.4	47.3261	Gapshima	Gapshima-Shukti		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
χoχa	хоха	Gigatli-Urukh	6. other	other	42.590934	46.142589	Chamalal	Gigatli		Database	https://ids.clld.org/parameters/5-820#7/41.910/48.928	
